kod_chu,DRUH,ID_IND,KLIC,ROK,POLE,NAZEV_LOK,ID_ND_AKCE,ID_ND_LOK,HOD_IND,TYP_IND,LIM_IND,JEDNOTKA,LIM_INDLIST,STAV_IND,UROVEN,IND_GRP,CILMON_CHU
CZ0314024,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,"2017, 2012, 2022, 2018, 2025, 2024","6847c, 96,""6746d"", 96,""6846d"", 96,""6847d"", 6847d, 6947b","341 92 Kašperské Hory, Kašperské Hory, Regio Plzeň CZ, 6746, 6846, 6847, 6847-344, 6847-433, Amálino údolí, Amálino údolí - štola A, Amálino údolí - štola Bedřich, Amálino údolí - štola Kristýna, Amálino údolí - štola Myší díra, Chalupa v osadě Jirkalov (k. ú. Stachy)., Kašperské Hory, Klatovy, Krkonošská národní park, CZ-PK, CZ, Rejštejn, Stachy, Stachy (Jirkalov), Červená 18, 341 92 Kašperské Hory, Česko","10285381, 9010936, 9010949, 9010950, 12515101, 12515119, 12515094, 8917824, 8524729, 8524730, 8524731, 8524794, 8524797, 8524814, 10587594, 14892142, 10287543, 11788209, 14090376, 10075694, 10287541","6557015, 1850846, 1349738, 1350058, 7038450, 8155972, 5385666, 5063962, 5063963, 5064005, 5064019, 6866490, 12010179, 6559045, 8350291, 11147319, 6318859, 6559043",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0314124,Rhinolophus hipposideros,POP_PRESENCE,ano,"2012, 2013","96,""7051a"", 22,""7152a""","7051, EVL Blanský les (projekt JCK)","9010964, 9150602","1000466, 5496503",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0314124,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,"2012, 2013","96,""7051a"", 22,""7152a""","7051, EVL Blanský les (projekt JCK)","9010964, 9150602","1000466, 5496503",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0320023,Rhinolophus hipposideros,POP_PRESENCE,ano,2019,6747b,štola,10575573,6856156,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0320023,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,2019,6747b,štola,10575573,6856156,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0323648,Rhinolophus hipposideros,POP_PRESENCE,ano,2014,6747d,EVL Žihobce - zámek,9649124,9899763,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0323648,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,2014,6747d,EVL Žihobce - zámek,9649124,9899763,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420015,Rhinolophus hipposideros,POP_PRESENCE,ano,2023,5650a,PR Myslivna - transekt č. 4,12542700,9358791,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420015,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,2023,5650a,PR Myslivna - transekt č. 4,12542700,9358791,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420021,Rhinolophus hipposideros,POP_PRESENCE,ano,2025,5545d,Hasištejn - sklepení hradu,15620341,5068724,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420021,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,2025,5545d,Hasištejn - sklepení hradu,15620341,5068724,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420026,Rhinolophus hipposideros,POP_PRESENCE,ano,2013,5448d,NPR Bořeň,"9003714, 9003726, 9003733",1011443,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420026,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,2013,5448d,NPR Bořeň,"9003714, 9003726, 9003733",1011443,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420416,Rhinolophus hipposideros,POP_PRESENCE,ano,2013,5449b,NPR Milešovka,"9005290, 9005306",1011441,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420416,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,2013,5449b,NPR Milešovka,"9005290, 9005306",1011441,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420449,Rhinolophus hipposideros,POP_PRESENCE,ano,2013,"86,""5451b""",NPR Sedlo,"9005395, 9005402, 9005413",1011440,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420449,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,2013,"86,""5451b""",NPR Sedlo,"9005395, 9005402, 9005413",1011440,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0422075,Rhinolophus hipposideros,POP_PRESENCE,ano,2012,5449d,NPP Borečský vrch,"9003500, 9003511, 9003583, 9003584",1005604,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0422075,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,2012,5449d,NPP Borečský vrch,"9003500, 9003511, 9003583, 9003584",1005604,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
