kod_chu,DRUH,KOD_LOKAL,POLE,HODNOCENE_OBDOBI_OD,HODNOCENE_OBDOBI_DO
CZ0724089,Aconitum firmum subsp. moravicum,AFM061,6476c,2021-08-30,2025-08-26
CZ0724089,Aconitum firmum subsp. moravicum,AFM062,6476c,2022-08-03,2024-08-24
CZ0724089,Aconitum firmum subsp. moravicum,AFM063,6476c,2021-08-25,2021-08-25
CZ0724089,Aconitum firmum subsp. moravicum,AFM064,6575b,2024-08-17,2024-08-17
CZ0724089,Aconitum firmum subsp. moravicum,AFM065,6575b,2021-08-11,2024-08-14
CZ0724089,Aconitum firmum subsp. moravicum,AFM066,6575b,2021-08-11,2025-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM067,6575b,2021-08-11,2025-08-14
CZ0724089,Aconitum firmum subsp. moravicum,AFM068,6575b,2021-08-11,2023-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM069,6475d,2021-08-25,2025-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM070,6476c,2021-07-24,2025-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM071,6475d,2023-07-31,2023-07-31
CZ0724089,Aconitum firmum subsp. moravicum,AFM072A,6576c,2024-08-15,2024-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM072B,6576c,2021-07-24,2023-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM072C,6576c,2023-08-03,2023-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM072D,6576c,2021-07-24,2023-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM072E,6576c,2023-08-03,2023-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM073,6576c,2022-07-24,2024-08-15
CZ0724089,Aconitum firmum subsp. moravicum,AFM074,6476c,2021-08-11,2021-08-11
CZ0724089,Aconitum firmum subsp. moravicum,AFM075,6576a,2023-08-02,2023-08-02
CZ0724089,Aconitum firmum subsp. moravicum,AFM076,6476c,2021-08-25,2024-08-24
CZ0724089,Aconitum firmum subsp. moravicum,AFM077,6476c,2023-07-07,2023-07-07
CZ0724089,Aconitum firmum subsp. moravicum,AFM078,6576a,2023-08-07,2023-08-07
CZ0724089,Aconitum firmum subsp. moravicum,AFM080,6576a,2021-07-24,2025-08-04
CZ0724089,Aconitum firmum subsp. moravicum,AFM081,6576a,2023-07-27,2023-07-27
CZ0724089,Aconitum firmum subsp. moravicum,AFM082,6576a,2023-07-27,2023-07-27
CZ0724089,Aconitum firmum subsp. moravicum,AFM083,6576a,2023-08-03,2023-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM084,6576a,2024-08-14,2024-08-14
CZ0724089,Aconitum firmum subsp. moravicum,AFM085,6576a,2021-07-24,2023-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM086,6476c,2023-08-03,2023-08-03
CZ0724089,Aconitum firmum subsp. moravicum,AFM087,6576c,2025-08-06,2025-08-06
CZ0724089,Aconitum firmum subsp. moravicum,AFM088,6576c,2024-08-15,2024-08-15
