kod_chu,DRUH,KOD_LOKAL,POLE,ROK,ID_IND,SKUPINA,NAZEV_LOK,ID_ND_AKCE,ID_ND_LOK,DATUM,CILMON,TYP_IND,KLIC,UROVEN,IND_GRP,JEDNOTKA,LIM_IND,LIM_INDLIST,STAV_IND,HOD_IND
CZ0214003,Rhinolophus hipposideros,Jeskyně Zlomená,6050c,2016,CELKOVE_SUM,Letouni,Jeskyně Zlomená,9807806,5062657,2016-02-02,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214003,Rhinolophus hipposideros,Jeskyně Zlomená,6050c,2016,POP_PRESENCE,Letouni,Jeskyně Zlomená,9807806,5062657,2016-02-02,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214003,Rhinolophus hipposideros,Jeskyně Žába,6050c,2018,CELKOVE_HODNOCENI,Letouni,Jeskyně Žába,10730116,5062663,2018-01-30,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214003,Rhinolophus hipposideros,Jeskyně Žába,6050c,2018,CELKOVE_SUM,Letouni,Jeskyně Žába,10730116,5062663,2018-01-30,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214003,Rhinolophus hipposideros,Jeskyně Žába,6050c,2018,POP_PRESENCE,Letouni,Jeskyně Žába,10730116,5062663,2018-01-30,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214003,Rhinolophus hipposideros,Koněpruské jeskyně,6050c,2014,CELKOVE_HODNOCENI,Letouni,Koněpruské jeskyně,9371264,5668046,2014-01-29,1,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214003,Rhinolophus hipposideros,Koněpruské jeskyně,6050c,2014,CELKOVE_SUM,Letouni,Koněpruské jeskyně,9371264,5668046,2014-01-29,1,NA,NA,NA,NA,NA,,,NA,1
CZ0214003,Rhinolophus hipposideros,Koněpruské jeskyně,6050c,2014,POP_PRESENCE,Letouni,Koněpruské jeskyně,9371264,5668046,2014-01-29,1,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214003,Rhinolophus hipposideros,Koněprusy - Bonzákova slůj,6050c,2024,CELKOVE_HODNOCENI,Letouni,Koněprusy - Bonzákova slůj,12835098,9684984,2024-03-17,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214003,Rhinolophus hipposideros,Koněprusy - Bonzákova slůj,6050c,2024,CELKOVE_SUM,Letouni,Koněprusy - Bonzákova slůj,12835098,9684984,2024-03-17,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214003,Rhinolophus hipposideros,Koněprusy - Bonzákova slůj,6050c,2024,POP_PRESENCE,Letouni,Koněprusy - Bonzákova slůj,12835098,9684984,2024-03-17,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214003,Rhinolophus hipposideros,"NPP Zlatý kůň, Koněpruské jeskyně",6050c,2025,CELKOVE_HODNOCENI,Letouni,"NPP Zlatý kůň, Koněpruské jeskyně",14087885,11142875,2025-04-10,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214003,Rhinolophus hipposideros,"NPP Zlatý kůň, Koněpruské jeskyně",6050c,2025,CELKOVE_SUM,Letouni,"NPP Zlatý kůň, Koněpruské jeskyně",14087885,11142875,2025-04-10,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214003,Rhinolophus hipposideros,"NPP Zlatý kůň, Koněpruské jeskyně",6050c,2025,POP_PRESENCE,Letouni,"NPP Zlatý kůň, Koněpruské jeskyně",14087885,11142875,2025-04-10,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
