kod_chu,DRUH,POLE,POSLEDNI_NALEZ
CZ0514042,Canis lupus,"33,""5354c""",2025-02-24
CZ0514042,Canis lupus,"37,""5454a""",2025-03-10
CZ0514042,Canis lupus,5353c,2018-09-06
CZ0514042,Canis lupus,5353d,2026-01-14
CZ0514042,Canis lupus,5354c,2025-01-14
CZ0514042,Canis lupus,5453b,2016-12-29
CZ0514042,Canis lupus,5454a,2026-01-27
CZ0514042,Canis lupus,"57,""5454a""",2024-01-19
CZ0514042,Canis lupus,"73,""5454a""",2015-02-05
CZ0514042,Canis lupus,"75,""5454b""",2025-04-08
CZ0514042,Canis lupus,"79,""5353d""",2025-01-14
CZ0514042,Castor fiber,5353d,2022-01-24
CZ0514042,Cottus gobio,5353c,2023-09-11
CZ0514042,Cottus gobio,5353d,2023-10-11
CZ0514042,Cottus gobio,5454a,2023-09-11
CZ0514042,Cypripedium calceolus,5353d,2023-06-05
CZ0514042,Epidalea calamita,5353d,2005-05-11
CZ0514042,Euplagia quadripunctaria,5353d,2019-08-01
CZ0514042,Euplagia quadripunctaria,5454a,2022-07-30
CZ0514042,Graphoderus bilineatus,5453b,2022-08-03
CZ0514042,Graphoderus bilineatus,5454a,2021-06-01
CZ0514042,Hamatocaulis vernicosus,"01,""5454a""",2013-04-27
CZ0514042,Hamatocaulis vernicosus,"15,""5454a""",2025-09-25
CZ0514042,Hamatocaulis vernicosus,5353c,2014-07-01
CZ0514042,Hamatocaulis vernicosus,5353d,2022-09-27
CZ0514042,Hamatocaulis vernicosus,5454a,2019-11-05
CZ0514042,Hamatocaulis vernicosus,"78,""5353d""",2001-01-01
CZ0514042,Hamatocaulis vernicosus,"84,""5353c""",2025-09-25
CZ0514042,Hipparchia semele,NA,1995-01-01
CZ0514042,Lemna trisulca,5353b,2002-06-01
CZ0514042,Lemna trisulca,5353c,2020-08-02
CZ0514042,Lemna trisulca,5353d,2022-09-15
CZ0514042,Lemna trisulca,5454a,2013-01-01
CZ0514042,Leucorrhinia pectoralis,"06,""5453b""",2005-07-12
CZ0514042,Leucorrhinia pectoralis,"22,""5454a""",2003-06-03
CZ0514042,Leucorrhinia pectoralis,5353c,2021-06-02
CZ0514042,Leucorrhinia pectoralis,5353d,2008-06-23
CZ0514042,Leucorrhinia pectoralis,5354c,2015-04-24
CZ0514042,Leucorrhinia pectoralis,5453b,2022-08-26
CZ0514042,Leucorrhinia pectoralis,5454a,2023-06-22
CZ0514042,Leucorrhinia pectoralis,"84,""5353c""",2005-07-13
CZ0514042,Leucorrhinia pectoralis,"87,""5454a""",2005-07-12
CZ0514042,Leucorrhinia pectoralis,"91,""5353d""",2007-04-27
CZ0514042,Ligularia sibirica,"38,""5353d""",2001-05-01
CZ0514042,Ligularia sibirica,5353d,2025-10-21
CZ0514042,Liparis loeselii,"06,""5453b""",2015-05-29
CZ0514042,Liparis loeselii,"13,""5453b""",2003-01-01
CZ0514042,Liparis loeselii,"14,""5353d""",2001-01-01
CZ0514042,Liparis loeselii,"15,""5454a""",2003-01-01
CZ0514042,Liparis loeselii,"38,""5353d""",2001-05-01
CZ0514042,Liparis loeselii,"42,""5353c""",2003-01-01
CZ0514042,Liparis loeselii,5353d,2025-06-23
CZ0514042,Liparis loeselii,5453b,2024-08-29
CZ0514042,Liparis loeselii,5454a,2024-07-25
CZ0514042,Liparis loeselii,"93,""5453b""",2015-06-30
CZ0514042,Liparis loeselii,"96,""5353d""",2021-04-26
CZ0514042,Lutra lutra,5353c,2017-02-05
CZ0514042,Lutra lutra,5353d,2016-10-19
CZ0514042,Lutra lutra,5453b,2023-02-27
CZ0514042,Lutra lutra,5454a,2022-10-30
CZ0514042,Lutra lutra,"93,""5353d""",2005-02-20
CZ0514042,Lutra lutra,"96,""5454a""",2007-01-01
CZ0514042,Lutra lutra,"96,""5454b""",2007-01-01
CZ0514042,Lutra lutra,"96,""5454c""",2007-01-01
CZ0514042,Lutra lutra,"96,""5454d""",2007-01-01
CZ0514042,Lycaena dispar,5353d,2019-08-01
CZ0514042,Lycaena dispar,"81,""5353d""",2019-07-24
CZ0514042,Myotis alcathoe/emarginatus,"03,""5453b""",2020-08-09
CZ0514042,Myotis alcathoe/emarginatus,5353c,2022-09-16
CZ0514042,Myotis alcathoe/emarginatus,5353d,2020-04-23
CZ0514042,Myotis alcathoe/emarginatus,5354c,2017-06-20
CZ0514042,Myotis alcathoe/emarginatus,5454a,2017-07-31
CZ0514042,Myotis bechsteinii,"09,""5354c""",2014-05-06
CZ0514042,Myotis bechsteinii,5454a,2014-06-30
CZ0514042,Myotis bechsteinii,"73,""5454a""",2005-01-01
CZ0514042,Myotis bechsteinii,"96,""5454a""",2011-06-21
CZ0514042,Myotis bechsteinii,"96,""5454b""",2011-06-21
CZ0514042,Myotis bechsteinii,"96,""5454c""",2011-06-21
CZ0514042,Myotis bechsteinii,"96,""5454d""",2011-06-21
CZ0514042,Myotis emarginatus,5353c,2022-07-19
CZ0514042,Myotis emarginatus,"96,""5454a""",2011-12-21
CZ0514042,Myotis emarginatus,"96,""5454b""",2011-12-21
CZ0514042,Myotis emarginatus,"96,""5454c""",2011-12-21
CZ0514042,Myotis emarginatus,"96,""5454d""",2011-12-21
CZ0514042,Myotis myotis,"03,""5453b""",2020-08-09
CZ0514042,Myotis myotis,5353c,2011-08-26
CZ0514042,Myotis myotis,5353d,2020-08-09
CZ0514042,Myotis myotis,5354c,2017-06-20
CZ0514042,Myotis myotis,5453b,2014-09-08
CZ0514042,Myotis myotis,5454a,2017-07-31
CZ0514042,Myotis myotis,"84,""5353c""",2003-08-25
CZ0514042,Myotis myotis,"96,""5353a""",2012-06-21
CZ0514042,Myotis myotis,"96,""5353b""",2012-06-21
CZ0514042,Myotis myotis,"96,""5353c""",2012-06-21
CZ0514042,Myotis myotis,"96,""5353d""",2012-06-21
CZ0514042,Myotis myotis,"96,""5454a""",2012-06-21
CZ0514042,Myotis myotis,"96,""5454b""",2012-06-21
CZ0514042,Myotis myotis,"96,""5454c""",2012-06-21
CZ0514042,Myotis myotis,"96,""5454d""",2012-06-21
CZ0514042,Myotis myotis,"99,""5353c""",2011-08-26
CZ0514042,Myotis myotis,"99,""5453b""",2014-08-11
CZ0514042,Myotis myotis,"99,""5454a""",2013-09-11
CZ0514042,Myotis sp.,5354c,2017-07-31
CZ0514042,Ophiogomphus cecilia,"11,""5353c""",2000-01-01
CZ0514042,Ophiogomphus cecilia,5353b,2005-07-03
CZ0514042,Ophiogomphus cecilia,5353c,2003-06-24
CZ0514042,Ophiogomphus cecilia,5353d,2021-07-16
CZ0514042,Ophiogomphus cecilia,5354c,2023-06-22
CZ0514042,Ophiogomphus cecilia,5453b,2012-09-11
CZ0514042,Ophiogomphus cecilia,5454a,2022-07-31
CZ0514042,Ophiogomphus cecilia,5454b,2018-07-19
CZ0514042,Ophiogomphus cecilia,"84,""5354c""",2025-07-14
CZ0514042,Osmoderma barnabita,"08,""5453b""",2009-08-01
CZ0514042,Osmoderma barnabita,"15,""5454a""",2008-07-31
CZ0514042,Osmoderma barnabita,"35,""5453b""",2001-01-01
CZ0514042,Osmoderma barnabita,5353c,2021-06-30
CZ0514042,Osmoderma barnabita,5354c,2014-07-13
CZ0514042,Osmoderma barnabita,5453b,2019-11-27
CZ0514042,Osmoderma barnabita,5454a,2021-07-30
CZ0514042,Osmoderma barnabita,5454b,2017-05-07
CZ0514042,Osmoderma barnabita,"59,""5454b""",2023-06-27
CZ0514042,Osmoderma barnabita,"64,""5354c""",2022-11-29
CZ0514042,Phengaris nausithous,5353c,2021-07-23
CZ0514042,Phengaris nausithous,5353d,2022-07-15
CZ0514042,Phengaris nausithous,5453b,2019-07-26
CZ0514042,Phengaris nausithous,5454a,2020-08-20
CZ0514042,Phengaris nausithous,"93,""5353d""",2005-08-18
CZ0514042,Phengaris nausithous,"96,""5353a""",2005-08-18
CZ0514042,Phengaris nausithous,"96,""5353b""",2005-08-18
CZ0514042,Phengaris nausithous,"96,""5353c""",2005-08-18
CZ0514042,Phengaris nausithous,"96,""5353d""",2005-08-18
CZ0514042,Phengaris teleius,"06,""5353c""",1995-01-01
CZ0514042,Phengaris teleius,5353b,2018-07-24
CZ0514042,Phengaris teleius,5353c,2021-07-23
CZ0514042,Phengaris teleius,5353d,2023-07-11
CZ0514042,Phengaris teleius,5454a,2020-08-05
CZ0514042,Phengaris teleius,"81,""5353d""",2019-07-24
CZ0514042,Phengaris teleius,"93,""5353d""",2003-06-14
CZ0514042,Phengaris teleius,"96,""5353a""",2005-07-19
CZ0514042,Phengaris teleius,"96,""5353b""",2005-07-19
CZ0514042,Phengaris teleius,"96,""5353c""",2005-07-19
CZ0514042,Phengaris teleius,"96,""5353d""",2005-07-19
CZ0514042,Pulsatilla patens,5353d,2024-04-04
CZ0514042,Pulsatilla patens,5354c,2025-04-08
CZ0514042,Rhinolophus hipposideros,"96,""5353a""",2012-06-21
CZ0514042,Rhinolophus hipposideros,"96,""5353b""",2012-06-21
CZ0514042,Rhinolophus hipposideros,"96,""5353c""",2012-06-21
CZ0514042,Rhinolophus hipposideros,"96,""5353d""",2012-06-21
CZ0514042,Rhinolophus hipposideros,"96,""5454a""",2011-12-21
CZ0514042,Rhinolophus hipposideros,"96,""5454b""",2011-12-21
CZ0514042,Rhinolophus hipposideros,"96,""5454c""",2011-12-21
CZ0514042,Rhinolophus hipposideros,"96,""5454d""",2011-12-21
CZ0514042,Rosalia alpina,5354c,2015-06-29
CZ0514042,Rosalia alpina,5453b,2015-06-29
CZ0514042,Rosalia alpina,5454a,2023-07-23
CZ0514042,Rosalia alpina,5454b,2024-06-30
CZ0514042,Rumex sp.,5353c,2015-06-10
CZ0514042,Rumex sp.,5353d,2015-07-24
CZ0514042,Rumex sp.,5453b,2013-05-20
CZ0514042,Rumex sp.,5454a,2019-10-14
CZ0514042,Sanguisorba officinalis,"01,""5454a""",2013-01-01
CZ0514042,Sanguisorba officinalis,"06,""5453b""",2015-05-29
CZ0514042,Sanguisorba officinalis,"18,""5453b""",2015-06-30
CZ0514042,Sanguisorba officinalis,"39,""5353d""",2015-07-20
CZ0514042,Sanguisorba officinalis,"52,""5453b""",2015-07-09
CZ0514042,Sanguisorba officinalis,5353b,2017-08-31
CZ0514042,Sanguisorba officinalis,5353c,2020-07-28
CZ0514042,Sanguisorba officinalis,5353d,2022-07-19
CZ0514042,Sanguisorba officinalis,5354c,2012-07-30
CZ0514042,Sanguisorba officinalis,5454a,2015-05-30
CZ0514042,Sanguisorba officinalis,"83,""5353d""",2021-04-26
CZ0514042,Sanguisorba officinalis,"93,""5453b""",2015-06-30
CZ0514042,Sanguisorba officinalis,"96,""5353d""",2021-04-26
CZ0514042,Scardinius erythrophthalmus,5353c,2023-05-03
CZ0514042,Scardinius erythrophthalmus,5353d,2002-01-01
CZ0514042,Scardinius erythrophthalmus,5454a,2025-10-30
CZ0514042,Succisa pratensis,"06,""5453b""",2015-05-29
CZ0514042,Succisa pratensis,5353c,2015-05-29
CZ0514042,Succisa pratensis,5353d,2022-07-24
CZ0514042,Succisa pratensis,"83,""5353d""",2021-04-26
CZ0514042,Succisa pratensis,"96,""5353d""",2021-04-26
CZ0514042,Trichomanes speciosum,"06,""5454b""",2018-09-23
CZ0514042,Trichomanes speciosum,5353d,2016-02-06
CZ0514042,Trichomanes speciosum,5354c,2022-05-20
CZ0514042,Trichomanes speciosum,5453b,2008-03-08
CZ0514042,Trichomanes speciosum,5454a,2021-10-14
CZ0514042,Triturus cristatus,5453b,2019-08-27
CZ0514042,Vertigo angustior,5353d,2016-11-25
CZ0514042,Vertigo angustior,5454a,2022-07-09
CZ0514042,Vertigo moulinsiana,5353c,2020-10-26
CZ0514042,Vertigo moulinsiana,5353d,2024-11-21
CZ0514042,Vertigo moulinsiana,5453b,2016-11-25
CZ0514042,Vertigo moulinsiana,5454a,2023-09-07
CZ0514113,Ameiurus nebulosus,5457a,2020-08-28
CZ0514113,Ameiurus nebulosus,5457c,2025-11-14
CZ0514113,Ameiurus nebulosus,5557a,2014-10-26
CZ0514113,Barbastella barbastellus,5457a,2020-09-20
CZ0514113,Barbastella barbastellus,5457c,2020-09-14
CZ0514113,Bombina bombina,5456d,2001-05-01
CZ0514113,Bombina bombina,5457c,2025-05-01
CZ0514113,Bombina bombina,5557a,2001-05-01
CZ0514113,Canis lupus,5457c,2024-12-29
CZ0514113,Cobitis elongatoides,5457c,2025-11-14
CZ0514113,Cobitis sp.,5457c,2023-10-23
CZ0514113,Cucujus cinnaberinus,5457a,2021-07-11
CZ0514113,Cucujus cinnaberinus,5457c,2022-08-30
CZ0514113,Hamatocaulis vernicosus,"23,""5457c""",2013-10-07
CZ0514113,Hamatocaulis vernicosus,5457c,2025-09-28
CZ0514113,Lampetra planeri,5457c,2000-01-01
CZ0514113,Lemna trisulca,5457c,2011-06-16
CZ0514113,Leuciscus aspius,5457c,2022-08-29
CZ0514113,Liparis loeselii,5457c,2025-06-12
CZ0514113,Lutra lutra,5457c,2025-11-13
CZ0514113,Myotis alcathoe/emarginatus,5457a,2020-09-14
CZ0514113,Myotis alcathoe/emarginatus,5457c,2020-09-21
CZ0514113,Myotis emarginatus,5457a,2020-01-11
CZ0514113,Myotis emarginatus,5457c,2020-07-11
CZ0514113,Myotis emarginatus,"99,""5457c""",2012-08-06
CZ0514113,Myotis myotis,5456d,2020-07-26
CZ0514113,Myotis myotis,5457a,2020-09-20
CZ0514113,Myotis myotis,5457c,2020-09-21
CZ0514113,Myotis myotis,"99,""5457c""",2012-08-06
CZ0514113,Myotis sp.,5457a,2020-09-17
CZ0514113,Myotis sp.,5457c,2020-09-21
CZ0514113,Phengaris nausithous,"23,""5457c""",2009-07-22
CZ0514113,Phengaris nausithous,5457c,2022-07-23
CZ0514113,Phengaris teleius,5457c,2022-07-23
CZ0514113,Rhinolophus hipposideros,5457a,2021-01-07
CZ0514113,Rhinolophus hipposideros,5457c,2025-07-10
CZ0514113,Rhinolophus hipposideros,"72,""5457c""",2007-07-01
CZ0514113,Rhinolophus hipposideros,"99,""5457c""",2015-05-02
CZ0514113,Sanguisorba officinalis,5456d,2021-08-26
CZ0514113,Sanguisorba officinalis,5457c,2022-08-04
CZ0514113,Sanguisorba officinalis,"74,""5457c""",2018-04-09
CZ0514113,Scardinius erythrophthalmus,5457c,2024-11-15
CZ0514113,Succisa pratensis,5457c,2025-07-15
CZ0514113,Trichomanes speciosum,"07,""5457c""",2020-09-18
CZ0514113,Trichomanes speciosum,5456d,2013-10-08
CZ0514113,Trichomanes speciosum,5457a,2012-09-16
CZ0514113,Trichomanes speciosum,5457c,2018-06-29
CZ0514113,Trichomanes speciosum,5557a,2006-09-20
CZ0514113,Triturus cristatus,5457c,2025-04-23
CZ0514243,Barbastella barbastellus,5454c,2024-07-03
CZ0514243,Euplagia quadripunctaria,5454c,2018-08-07
CZ0514243,Myotis bechsteinii,5454c,2025-08-27
CZ0514243,Myotis emarginatus,5454c,2025-08-27
CZ0514243,Myotis myotis,5454c,2025-08-27
CZ0514243,Ophiogomphus cecilia,5454c,2006-07-26
CZ0514243,Osmoderma barnabita,5454c,2020-07-25
CZ0514243,Rhinolophus hipposideros,5454c,2025-08-27
CZ0514243,Rosalia alpina,5454c,2025-07-15
CZ0514667,Barbastella barbastellus,5255a,2005-12-30
CZ0514667,Myotis emarginatus,5255a,2024-02-01
CZ0514667,Myotis myotis,5255a,2025-02-05
CZ0514667,Rhinolophus hipposideros,5255a,2025-02-05
CZ0514668,Barbastella barbastellus,5256c,2019-08-09
CZ0514668,Lycaena dispar,"59,""5256c""",2009-07-04
CZ0514668,Myotis bechsteinii,5255d,2019-08-22
CZ0514668,Myotis bechsteinii,5256c,2019-08-30
CZ0514668,Myotis emarginatus,5255d,2019-08-22
CZ0514668,Myotis myotis,"43,""5255d""",2019-06-09
CZ0514668,Myotis myotis,"51,""5256c""",2019-08-09
CZ0514668,Myotis myotis,5255d,2019-08-22
CZ0514668,Myotis myotis,5256c,2019-08-30
CZ0514668,Myotis sp.,5256c,2021-02-14
CZ0514668,Rhinolophus hipposideros,5255d,2019-08-22
CZ0514668,Rhinolophus hipposideros,5256c,2025-01-01
CZ0514669,Abramis brama,5454a,2022-01-06
CZ0514669,Ameiurus nebulosus,5454a,2022-01-06
CZ0514669,Leucorrhinia pectoralis,"35,""5454a""",2003-07-05
CZ0514669,Leucorrhinia pectoralis,5454a,2008-06-23
CZ0514669,Leucorrhinia pectoralis,5454c,2021-06-15
CZ0514669,Leucorrhinia pectoralis,"58,""5454a""",2005-07-12
CZ0514669,Liparis loeselii,5454a,2003-01-01
CZ0514669,Liparis loeselii,5454c,2005-06-14
CZ0514669,Liparis loeselii,"58,""5454a""",2003-01-01
CZ0514669,Phengaris nausithous,5454a,2020-07-31
CZ0514669,Phengaris nausithous,5454c,2021-07-13
CZ0514669,Phengaris teleius,5454a,2020-08-20
CZ0514669,Phengaris teleius,5454c,2021-07-13
CZ0514669,Sanguisorba officinalis,5454a,2012-09-13
CZ0514669,Sanguisorba officinalis,5454c,2022-06-02
CZ0514669,Succisa pratensis,5454a,2012-09-13
CZ0514669,Succisa pratensis,5454c,2008-07-16
CZ0514669,Vertigo moulinsiana,"17,""5454c""",2006-08-08
CZ0514669,Vertigo moulinsiana,5454a,2024-11-28
CZ0514669,Vertigo moulinsiana,5454c,2023-06-28
CZ0514670,Barbastella barbastellus,"45,""5352d""",2020-08-21
CZ0514670,Barbastella barbastellus,5352c,2023-08-17
CZ0514670,Barbastella barbastellus,"56,""5352d""",2020-04-12
CZ0514670,Canis lupus,5352d,2024-11-30
CZ0514670,Cottus gobio,5352d,2023-08-31
CZ0514670,Cucujus cinnaberinus,5352d,2021-04-30
CZ0514670,Lemna trisulca,5352d,2013-06-19
CZ0514670,Lutra lutra,5352d,2023-11-17
CZ0514670,Lycaena dispar,"15,""5352c""",2018-05-30
CZ0514670,Lycaena dispar,5352c,2022-06-22
CZ0514670,Lycaena dispar,5352d,2012-05-24
CZ0514670,Myotis bechsteinii,"45,""5352d""",2020-08-21
CZ0514670,Myotis bechsteinii,5352c,2023-08-17
CZ0514670,Myotis myotis,"45,""5352d""",2020-08-21
CZ0514670,Myotis myotis,5352d,2020-08-12
CZ0514670,Myotis myotis,5452b,2020-08-12
CZ0514670,Myotis myotis,"56,""5352d""",2020-08-12
CZ0514670,Osmoderma barnabita,"39,""5352d""",2017-07-18
CZ0514670,Osmoderma barnabita,5352c,2022-11-29
CZ0514670,Osmoderma barnabita,5352d,2021-07-18
CZ0514670,Phengaris nausithous,5352c,2023-07-27
CZ0514670,Phengaris nausithous,5352d,2022-07-28
CZ0514670,Phengaris teleius,5352c,2023-07-27
CZ0514670,Phengaris teleius,5352d,2022-07-28
CZ0514670,Rhinolophus hipposideros,"45,""5352d""",2020-08-21
CZ0514670,Rhinolophus hipposideros,"56,""5352d""",2020-08-12
CZ0514670,Sanguisorba officinalis,"06,""5352d""",2013-05-29
CZ0514670,Sanguisorba officinalis,5352c,2014-05-23
CZ0514670,Sanguisorba officinalis,5352d,2014-05-23
CZ0514670,Trichomanes speciosum,5452b,2025-02-07
CZ0514670,Vertigo angustior,5352c,2012-01-11
CZ0514670,Vertigo angustior,5352d,2020-09-30
CZ0514670,Vertigo moulinsiana,5352d,2020-09-30
CZ0514672,Buxbaumia viridis,5357b,2016-10-01
CZ0514672,Cottus gobio,"22,""5357d""",1950-01-01
CZ0514672,Cottus gobio,"24,""5357d""",1950-01-01
CZ0514672,Cottus gobio,"5,""5357d""",2004-01-01
CZ0514672,Cottus gobio,5357b,2023-09-23
CZ0514672,Cottus gobio,5357d,2023-09-24
CZ0514672,Cottus gobio,5358c,2023-09-24
CZ0514672,Cottus gobio,5358d,2023-09-23
CZ0514672,Cottus gobio,5458a,2023-09-24
CZ0514672,Cottus gobio,"99,""5358d""",2004-01-01
CZ0514672,Lampetra planeri,"38,""5357d""",1950-01-01
CZ0514672,Lampetra planeri,5357b,2012-09-18
CZ0514672,Lampetra planeri,5357d,2022-10-29
CZ0514672,Lampetra planeri,5358c,2022-10-22
CZ0514672,Lampetra planeri,5358d,2021-07-31
CZ0514672,Lampetra planeri,5458a,2022-10-22
CZ0514672,Lutra lutra,5357d,2020-05-09
CZ0514672,Lutra lutra,5358c,2016-10-19
CZ0514672,Lutra lutra,5358d,2002-10-30
CZ0514672,Lutra lutra,5458a,2016-04-29
CZ0514672,Ophiogomphus cecilia,5357d,2021-08-18
CZ0514672,Rumex sp.,5358d,2016-05-28
CZ0514672,Salmo trutta,"5,""5357d""",2004-01-01
CZ0514672,Salmo trutta,5357b,2022-10-22
CZ0514672,Salmo trutta,5357d,2022-10-29
CZ0514672,Salmo trutta,5358c,2022-10-22
CZ0514672,Salmo trutta,5358d,2023-07-06
CZ0514672,Salmo trutta,5458a,2022-10-22
CZ0514672,Salmo trutta,"99,""5358d""",2004-01-01
CZ0514672,Succisa pratensis,5357b,2008-08-06
CZ0515001,Hamatocaulis vernicosus,5253c,2019-10-04
CZ0520008,Myotis bechsteinii,5460b,2015-05-17
CZ0520009,Phengaris nausithous,5757b,2021-07-20
CZ0520009,Phengaris teleius,5757b,2021-07-20
CZ0520009,Sanguisorba officinalis,5757b,2016-06-29
CZ0520009,Succisa pratensis,5757a,2016-07-18
CZ0520022,Bombina bombina,"09,""5660a""",2001-05-01
CZ0520022,Bombina bombina,"19,""5660a""",2024-05-10
CZ0520022,Bombina bombina,"41,""5660a""",2017-05-13
CZ0520022,Bombina bombina,5560c,2020-07-06
CZ0520022,Bombina bombina,5659b,2011-07-16
CZ0520022,Bombina bombina,5660a,2020-05-27
CZ0520022,Bombina bombina,"93,""5660a""",2017-05-13
CZ0520022,Lutra lutra,5559d,2023-03-10
CZ0520022,Lycaena dispar,5659b,2018-07-27
CZ0520022,Phengaris teleius,5659b,2015-07-29
CZ0520022,Sanguisorba officinalis,"34,""5660a""",2016-05-10
CZ0520022,Sanguisorba officinalis,"44,""5659b""",2016-05-10
CZ0520022,Sanguisorba officinalis,5559d,2016-05-06
CZ0520022,Sanguisorba officinalis,5659b,2019-04-30
CZ0520022,Sanguisorba officinalis,5660a,2016-08-06
CZ0520022,Sanguisorba officinalis,"68,""5660a""",2016-05-10
CZ0520022,Sanguisorba officinalis,"79,""5660a""",2016-05-10
CZ0520022,Sanguisorba officinalis,"96,""5660a""",2016-05-10
CZ0520022,Succisa pratensis,"06,""5659b""",2016-05-10
CZ0520022,Succisa pratensis,"34,""5660a""",2016-05-10
CZ0520022,Succisa pratensis,5559d,2016-05-06
CZ0520022,Succisa pratensis,5659b,2019-04-30
CZ0520022,Succisa pratensis,5660a,2016-05-10
CZ0520022,Succisa pratensis,"61,""5659b""",2016-05-06
CZ0520022,Triturus cristatus,5659b,2005-03-28
CZ0520028,Abramis brama,"19,""5562c""",2004-01-01
CZ0520028,Barbastella barbastellus,"75,""5562c""",2013-07-25
CZ0520028,Bombina bombina,5562c,2020-06-09
CZ0520028,Cottus gobio,5562c,2020-09-18
CZ0520028,Lampetra planeri,5562c,2020-09-18
CZ0520028,Leuciscus aspius,"19,""5562c""",2004-01-01
CZ0520028,Lutra lutra,5562c,2016-05-01
CZ0520028,Lutra lutra,"76,""5562c""",2011-10-01
CZ0520028,Ophiogomphus cecilia,"99,""5562c""",2004-08-04
CZ0520028,Osmoderma barnabita,"01,""5562c""",2011-08-07
CZ0520028,Phengaris nausithous,5562c,2023-07-21
CZ0520028,Phengaris teleius,5562c,2023-07-21
CZ0520028,Salmo trutta,"19,""5562c""",2004-01-01
CZ0520028,Salmo trutta,5562c,2020-09-18
CZ0520028,Sanguisorba officinalis,5562c,2024-05-09
CZ0520028,Vertigo angustior,5562c,2021-10-01
CZ0520030,Lutra lutra,"96,""5759a""",2007-01-01
CZ0520030,Lutra lutra,"96,""5759b""",2007-01-01
CZ0520030,Lutra lutra,"96,""5759c""",2007-01-01
CZ0520030,Lutra lutra,"96,""5759d""",2007-01-01
CZ0520030,Myotis myotis,"96,""5759a""",2012-06-21
CZ0520030,Myotis myotis,"96,""5759b""",2012-06-21
CZ0520030,Myotis myotis,"96,""5759c""",2012-06-21
CZ0520030,Myotis myotis,"96,""5759d""",2012-06-21
CZ0520030,Sanguisorba officinalis,5759c,2021-06-16
CZ0520030,Sanguisorba officinalis,5759d,2021-06-09
CZ0520030,Succisa pratensis,5759d,2006-09-21
CZ0520030,Triturus cristatus,5759a,2008-04-20
CZ0520038,Bombina bombina,5657d,2022-06-12
CZ0520038,Lucanus cervus,5658c,2024-03-24
CZ0520038,Myotis emarginatus,5658a,2007-07-06
CZ0520038,Osmoderma barnabita,"97,""5658c""",2005-07-18
CZ0520038,Triturus cristatus,5658c,2008-03-17
CZ0520178,Barbastella barbastellus,5563c,2022-01-16
CZ0520178,Lampetra planeri,"55,""5563c""",2004-01-01
CZ0520178,Myotis emarginatus,"99,""5563c""",2001-01-01
CZ0520178,Myotis sp.,5563c,2020-01-30
CZ0520178,Phengaris teleius,5563c,2011-07-13
CZ0520178,Salmo trutta,"55,""5563c""",2004-01-01
CZ0520178,Sanguisorba officinalis,5563c,2015-09-03
CZ0520178,Triturus cristatus,5563c,2025-07-05
CZ0520184,Bombina bombina,"35,""5658d""",2008-04-29
CZ0520184,Bombina bombina,5658d,2015-03-01
CZ0520184,Sanguisorba officinalis,5658d,2009-05-07
CZ0520184,Succisa pratensis,5658d,2012-05-19
CZ0520507,Sanguisorba officinalis,5463c,2019-07-01
CZ0520508,Barbastella barbastellus,"68,""5463c""",2015-05-01
CZ0520508,Lutra lutra,"68,""5463c""",2015-05-01
CZ0520508,Myotis myotis,"68,""5463c""",2015-05-01
CZ0520508,Phengaris nausithous,5462d,2021-07-19
CZ0520508,Sanguisorba officinalis,"01,""5462d""",2018-09-23
CZ0520508,Sanguisorba officinalis,5462d,2021-07-19
CZ0520508,Sanguisorba officinalis,5463c,2018-09-23
CZ0520508,Sanguisorba officinalis,"84,""5462d""",2010-07-22
CZ0520511,Sanguisorba officinalis,"5,""5462a""",2010-03-01
CZ0520511,Sanguisorba officinalis,5462c,2015-07-17
CZ0520511,Sanguisorba officinalis,"65,""5462a""",2013-06-07
CZ0520511,Sanguisorba officinalis,"78,""5462a""",2010-03-01
CZ0520518,Barbastella barbastellus,5463d,2022-12-17
CZ0520518,Canis lupus,"41,""5463d""",2025-01-26
CZ0520518,Canis lupus,5463d,2021-02-19
CZ0520518,Lynx lynx,5463d,2016-08-01
CZ0520518,Lynx lynx,5464c,2021-02-08
CZ0520518,Rhinolophus hipposideros,"4,""5463d""",2013-08-27
CZ0520518,Rhinolophus hipposideros,"45,""5463d""",2013-07-01
CZ0520518,Sanguisorba officinalis,"25,""5463d""",2001-05-21
CZ0520518,Sanguisorba officinalis,"26,""5464c""",2013-09-11
CZ0520518,Sanguisorba officinalis,5463d,2019-06-18
CZ0520518,Sanguisorba officinalis,5464c,2013-09-11
CZ0520518,Sanguisorba officinalis,"56,""5464c""",2013-09-11
CZ0520518,Sanguisorba officinalis,"87,""5464c""",2019-06-18
CZ0520518,Sanguisorba officinalis,"91,""5463d""",2013-09-11
CZ0520518,Sanguisorba officinalis,"93,""5463d""",2019-06-18
CZ0520518,Sanguisorba officinalis,"98,""5463d""",2013-09-02
CZ0520519,Abramis brama,5362d,2021-07-03
CZ0520519,Barbastella barbastellus,5362d,2006-01-14
CZ0520519,Barbastella barbastellus,5462b,2015-06-11
CZ0520519,Barbastella barbastellus,"73,""5462b""",2013-08-18
CZ0520519,Canis lupus,"18,""5362d""",2025-01-31
CZ0520519,Canis lupus,"26,""5362d""",2017-01-01
CZ0520519,Canis lupus,5362d,2025-03-03
CZ0520519,Canis lupus,5462b,2025-07-25
CZ0520519,Canis lupus,"84,""5462b""",2017-01-01
