kod_chu,DRUH,POLE,POSLEDNI_NALEZ
CZ0210101,Lucanus cervus,"09,""5757c""",2002-03-17
CZ0210101,Lucanus cervus,5656d,2025-06-05
CZ0210101,Lucanus cervus,5657c,2023-06-08
CZ0210101,Lucanus cervus,5757a,2021-08-01
CZ0210101,Lucanus cervus,5757b,2020-07-03
CZ0210101,Lucanus cervus,5757c,2023-06-08
CZ0210101,Lucanus cervus,5757d,2019-06-08
CZ0210101,Lutra lutra,5657c,2020-04-22
CZ0210101,Lycaena dispar,5757a,2024-05-10
CZ0210101,Myotis myotis,"96,""5757a""",2012-06-21
CZ0210101,Myotis myotis,"96,""5757b""",2012-06-21
CZ0210101,Myotis myotis,"96,""5757c""",2012-06-21
CZ0210101,Myotis myotis,"96,""5757d""",2012-06-21
CZ0210101,Phengaris nausithous,"9,""5656b""",1995-01-01
CZ0210101,Sanguisorba officinalis,5656b,2014-06-05
CZ0210101,Sanguisorba officinalis,5656d,2014-05-31
CZ0210101,Sanguisorba officinalis,5657c,2023-06-22
CZ0210101,Sanguisorba officinalis,5757a,2016-06-09
CZ0210101,Sanguisorba officinalis,5757c,2009-07-22
CZ0210101,Sanguisorba officinalis,5757d,2015-08-25
CZ0210101,Sanguisorba officinalis,"64,""5757a""",2023-05-19
CZ0210101,Sanguisorba officinalis,"76,""5757b""",2022-05-19
CZ0210101,Sanguisorba officinalis,"9,""5757a""",2016-06-07
CZ0210101,Scardinius erythrophthalmus,"01,""5757d""",2004-01-01
CZ0210101,Succisa pratensis,5656b,2014-06-03
CZ0210101,Succisa pratensis,5656d,2014-05-31
CZ0210101,Succisa pratensis,5657c,2023-06-22
CZ0210101,Succisa pratensis,5757d,2004-05-08
CZ0210101,Succisa pratensis,"8,""5757b""",2002-07-14
CZ0210101,Triturus cristatus,5757a,2021-07-15
CZ0210101,Vertigo angustior,5657c,2023-05-11
CZ0210105,Cypripedium calceolus,5748d,2024-07-11
CZ0210105,Euplagia quadripunctaria,5748d,2023-06-08
CZ0210105,Lucanus cervus,5748d,2020-07-02
CZ0210107,Cypripedium calceolus,5850a,2024-08-01
CZ0210109,Barbastella barbastellus,5655b,2025-07-02
CZ0210109,Bombina bombina,5655a,2009-04-25
CZ0210109,Bombina bombina,5655b,2025-04-29
CZ0210109,Lucanus cervus,"23,""5655a""",2010-07-19
CZ0210109,Lucanus cervus,5655a,2023-06-25
CZ0210109,Lucanus cervus,5655b,2025-07-02
CZ0210109,Myotis bechsteinii,5655b,2025-07-02
CZ0210109,Myotis emarginatus,5655b,2025-05-27
CZ0210109,Myotis myotis,5655b,2025-07-02
CZ0210109,Sanguisorba officinalis,"23,""5655a""",2022-05-01
CZ0210109,Sanguisorba officinalis,5655b,2024-08-18
CZ0210109,Succisa pratensis,"23,""5655a""",2022-05-01
CZ0210109,Triturus cristatus,5655b,2013-04-30
CZ0210111,Pulsatilla patens,5555a,2025-06-29
CZ0210113,Euphydryas maturna,NA,2007-06-09
CZ0210113,Hamatocaulis vernicosus,5858c,2001-01-01
CZ0210113,Sanguisorba officinalis,5858c,2022-06-22
CZ0210113,Succisa pratensis,5858c,2022-06-22
CZ0210113,Vertigo angustior,5858c,2004-06-08
CZ0210114,Euplagia quadripunctaria,5555c,2017-08-11
CZ0210114,Lycaena dispar,5555c,2013-09-07
CZ0210114,Spermophilus citellus,5555c,2025-06-30
CZ0210118,Bombina bombina,5956b,2025-05-28
CZ0210118,Cucujus cinnaberinus,5956b,2004-04-28
CZ0210118,Lemna trisulca,5956b,2005-07-17
CZ0210118,Myotis myotis,5956b,2013-09-02
CZ0210118,Sanguisorba officinalis,5956b,2018-06-29
CZ0210118,Triturus cristatus,5956b,2024-06-02
CZ0210150,Bombina bombina,"4,""5756a""",2014-04-08
CZ0210150,Cucujus cinnaberinus,5756a,2021-09-18
CZ0210150,Cypripedium calceolus,5756a,2016-06-12
CZ0210150,Lucanus cervus,"08,""5756a""",2013-08-02
CZ0210150,Lucanus cervus,5756a,2024-08-27
CZ0210150,Myotis myotis,5756a,2012-08-24
CZ0210150,Triturus cristatus,5756a,2011-08-05
CZ0210152,Abramis brama,5753a,2016-10-25
CZ0210152,Abramis brama,5753c,2016-10-25
CZ0210152,Abramis brama,5753d,2016-10-25
CZ0210152,Abramis brama,"96,""5753c""",2004-01-01
