typ_predmetu_hodnoceni;kod_chu;nazev_chu;druh;feature_code;hodnocene_obdobi_od;hodnocene_obdobi_do;oop;parametr_nazev;parametr_hodnota;parametr_limit;parametr_jednotka;stav;trend;datum_hodnoceni;pracoviste;ind_nadr;metodika
Druh;CZ0623345;Citonice - rybník Skalka;Triturus carnifex;1167;2022-05-18;2024-07-18;Krajský úřad Jihomoravského kraje;131;3;NA;počet dílčích lokalit;nehodnocen;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623359;Čekál;Bombina bombina;1188;2022-05-04;2024-07-05;Krajský úřad Jihomoravského kraje;27;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623359;Čekál;Bombina bombina;1188;2022-05-04;2024-07-05;Krajský úřad Jihomoravského kraje;21;12;NA;volající samci;nehodnocen;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623359;Čekál;Bombina bombina;1188;2022-05-04;2024-07-05;Krajský úřad Jihomoravského kraje;22;60;NA;volající samci;nehodnocen;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623359;Čekál;Bombina bombina;1188;2022-05-04;2024-07-05;Krajský úřad Jihomoravského kraje;80;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623359;Čekál;Bombina bombina;1188;2022-05-04;2024-07-05;Krajský úřad Jihomoravského kraje;30;NA;50;% lokalit v dobrém stavu;neznámý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623359;Čekál;Bombina bombina;1188;2022-05-04;2024-07-05;Krajský úřad Jihomoravského kraje;31;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623359;Čekál;Bombina bombina;1188;2022-05-04;2024-07-05;Krajský úřad Jihomoravského kraje;32;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623359;Čekál;Bombina bombina;1188;2022-05-04;2024-07-05;Krajský úřad Jihomoravského kraje;33;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623359;Čekál;Bombina bombina;1188;2022-05-04;2024-07-05;Krajský úřad Jihomoravského kraje;34;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623359;Čekál;Bombina bombina;1188;2022-05-04;2024-07-05;Krajský úřad Jihomoravského kraje;36;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623359;Čekál;Bombina bombina;1188;2022-05-04;2024-07-05;Krajský úřad Jihomoravského kraje;37;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623359;Čekál;Bombina bombina;1188;2022-05-04;2024-07-05;Krajský úřad Jihomoravského kraje;38;50;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
