.target_id;SITECODE;HABITAT_CODE;status;elapsed_sec;error_message
610;CZ0320053;8230;ok;2,64310836791992e-03;
611;CZ0320053;9130;ok;4,48157596588135e+00;
612;CZ0320053;9170;ok;5,91760301589966e+00;
613;CZ0320053;9180;ok;2,86543679237366e+00;
614;CZ0810035;6510;ok;2,95472145080566e-03;
615;CZ0810035;9130;ok;3,47637319564819e+00;
616;CZ0810035;9170;ok;5,16395521163940e+00;
617;CZ0214013;3140;ok;2,72154808044434e-03;
618;CZ0214013;3150;ok;2,69675254821777e-03;
619;CZ0214013;6210;ok;2,79545783996582e-03;
620;CZ0214013;6410;ok;2,88128852844238e-03;
621;CZ0214013;6430;ok;2,93374061584473e-03;
622;CZ0214013;6510;ok;2,89869308471680e-03;
623;CZ0214013;7210;ok;2,96235084533691e-03;
624;CZ0214013;7230;ok;2,95758247375488e-03;
625;CZ0214013;8220;ok;2,86006927490234e-03;
626;CZ0214013;8230;ok;2,94518470764160e-03;
627;CZ0214013;8310;ok;3,00121307373047e-03;
628;CZ0214013;9110;ok;1,18375318050385e+02;
629;CZ0214013;91E0;ok;1,03874883651733e+02;
630;CZ0420021;8220;ok;2,61235237121582e-03;
631;CZ0420021;9110;ok;4,26842117309570e+00;
632;CZ0420021;9130;ok;3,74497103691101e+00;
633;CZ0420021;9180;ok;1,72827434539795e+00;
634;CZ0423216;3140;ok;2,81310081481934e-03;
635;CZ0714076;6210;ok;2,69603729248047e-03;
636;CZ0714076;6510;ok;2,69627571105957e-03;
637;CZ0714076;8210;ok;3,39961051940918e-03;
638;CZ0420459;6210;ok;3,34835052490234e-03;
639;CZ0420459;6510;ok;3,23534011840820e-03;
640;CZ0420459;8220;ok;3,17287445068359e-03;
641;CZ0420459;9170;ok;4,47573328018188e+00;
642;CZ0420459;9180;ok;1,78373956680298e+00;
643;CZ0420459;40A0;ok;2,81524658203125e-03;
644;CZ0420459;6210p;ok;2,78306007385254e-03;
645;CZ0420459;91H0;ok;9,22526597976685e-01;
646;CZ0420459;91I0;ok;1,43606901168823e+00;
647;CZ0214037;6110;ok;2,79831886291504e-03;
648;CZ0214037;6190;ok;2,67863273620605e-03;
649;CZ0214037;6210;ok;2,68530845642090e-03;
650;CZ0214037;8310;ok;2,60806083679199e-03;
651;CZ0720016;6210;ok;2,77733802795410e-03;
652;CZ0720016;9170;ok;4,19036936759949e+00;
653;CZ0720016;91E0;ok;3,13293528556824e+00;
654;CZ0720016;91I0;ok;9,25111293792725e-01;
655;CZ0614133;6210;ok;2,90632247924805e-03;
656;CZ0614133;6510;ok;2,94589996337891e-03;
657;CZ0210022;6210;ok;2,94947624206543e-03;
658;CZ0210022;9170;ok;4,53981876373291e+00;
659;CZ0210022;9190;ok;1,07459902763367e+00;
660;CZ0520507;6510;ok;2,96521186828613e-03;
