TYP_CHU;SITECODE;HABITAT_CODE;ROZLOHA_PASEKY;ROZLOHA_HOLINY;POCET_SEGMENTU_PASEKY;DATUM_VYPOCTU
EVL;CZ0710505;40A0;;;;2026-09-24
EVL;CZ0214047;4030;;;;2026-09-24
EVL;CZ0214047;7140;;;;2026-09-24
EVL;CZ0214047;91D0;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0520518;4030;;;;2026-09-24
EVL;CZ0520518;8220;;;;2026-09-24
EVL;CZ0520518;8310;;;;2026-09-24
EVL;CZ0520518;9110;3,07463203666943e+00;0,00000000000000;37;2026-09-24
EVL;CZ0520518;9130;1,28468600783954e+00;0,00000000000000;16;2026-09-24
EVL;CZ0520178;6510;;;;2026-09-24
EVL;CZ0520178;9110;6,00215171886773e-01;0,00000000000000;3;2026-09-24
EVL;CZ0520178;9130;9,55768737678002e-01;0,00000000000000;6;2026-09-24
EVL;CZ0520178;91E0;8,50471275292989e-02;0,00000000000000;1;2026-09-24
EVL;CZ0212001;3130;;;;2026-09-24
EVL;CZ0623004;91E0;2,08428433095735e+00;2,08428433095735;1;2026-09-24
EVL;CZ0510405;6230;;;;2026-09-24
EVL;CZ0510405;6430;;;;2026-09-24
EVL;CZ0510405;7140;;;;2026-09-24
EVL;CZ0510405;9130;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0510405;9140;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0510405;9180;1,14489266643954e-01;0,00000000000000;3;2026-09-24
EVL;CZ0510405;9410;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0510405;91D0;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0413177;3160;;;;2026-09-24
EVL;CZ0413177;6430;;;;2026-09-24
EVL;CZ0524048;7230;;;;2026-09-24
EVL;CZ0620073;2330;;;;2026-09-24
EVL;CZ0620194;8220;;;;2026-09-24
EVL;CZ0620194;9180;1,05264323082537e+00;0,00000000000000;6;2026-09-24
EVL;CZ0320023;6110;;;;2026-09-24
EVL;CZ0320023;9150;2,29713638725842e+00;1,77660528276223;4;2026-09-24
EVL;CZ0320023;91U0;7,85862394547090e-02;0,00000000000000;1;2026-09-24
EVL;CZ0320180;6410;;;;2026-09-24
EVL;CZ0320180;7140;;;;2026-09-24
EVL;CZ0320180;9110;3,05724175682921e+01;16,24723015677205;42;2026-09-24
EVL;CZ0320180;9130;1,84885456322355e+00;0,00000000000000;5;2026-09-24
EVL;CZ0320180;9180;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0320180;9190;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0320180;9410;8,00824962952174e-04;0,00000000000000;1;2026-09-24
EVL;CZ0320180;91D0;1,65258074204996e-01;0,00000000000000;1;2026-09-24
EVL;CZ0624062;6210;;;;2026-09-24
EVL;CZ0624062;91G0;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0624062;91I0;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0534050;3150;;;;2026-09-24
EVL;CZ0214004;2330;;;;2026-09-24
EVL;CZ0214004;6510;;;;2026-09-24
EVL;CZ0214004;9170;5,54498860419524e-03;0,00000000000000;4;2026-09-24
EVL;CZ0214004;9190;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0624072;3140;;;;2026-09-24
EVL;CZ0624072;6210;;;;2026-09-24
EVL;CZ0624072;6410;;;;2026-09-24
EVL;CZ0624072;6430;;;;2026-09-24
EVL;CZ0624072;6510;;;;2026-09-24
EVL;CZ0624072;7220;;;;2026-09-24
EVL;CZ0624072;9130;7,73611518014032e+00;2,86562511656538;22;2026-09-24
EVL;CZ0624072;9170;2,20118111188584e+01;7,39802944624052;36;2026-09-24
EVL;CZ0624072;6210p;;;;2026-09-24
EVL;CZ0624072;91E0;1,04955222296662e-02;0,00000000000000;3;2026-09-24
EVL;CZ0624072;91G0;3,54396302617780e+00;0,00000000000000;28;2026-09-24
EVL;CZ0624072;91I0;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0210704;6190;;;;2026-09-24
EVL;CZ0210704;40A0;;;;2026-09-24
EVL;CZ0310032;3260;;;;2026-09-24
EVL;CZ0310032;8220;;;;2026-09-24
EVL;CZ0310610;7120;;;;2026-09-24
EVL;CZ0310610;91D0;5,85858588368100e+00;5,20627280357778;3;2026-09-24
EVL;CZ0810001;6510;;;;2026-09-24
EVL;CZ0810001;7220;;;;2026-09-24
EVL;CZ0810001;9180;5,41563019009597e-05;0,00000000000000;16;2026-09-24
EVL;CZ0424031;3260;;;;2026-09-24
EVL;CZ0424031;4030;;;;2026-09-24
EVL;CZ0424031;6230;;;;2026-09-24
EVL;CZ0424031;6510;;;;2026-09-24
EVL;CZ0424031;8160;;;;2026-09-24
EVL;CZ0424031;8220;;;;2026-09-24
EVL;CZ0424031;8310;;;;2026-09-24
EVL;CZ0424031;9110;2,74629364136355e+02;237,90891931772413;230;2026-09-24
EVL;CZ0424031;9130;8,95678991815693e-01;0,00000000000000;14;2026-09-24
EVL;CZ0424031;9180;3,40228422685381e-01;0,00000000000000;8;2026-09-24
EVL;CZ0424031;9410;5,22447198546710e+00;0,00000000000000;32;2026-09-24
EVL;CZ0520038;9170;9,62185938114829e+00;0,00000000000000;27;2026-09-24
EVL;CZ0520038;9190;4,94572223396105e-01;0,00000000000000;3;2026-09-24
EVL;CZ0620002;6210;;;;2026-09-24
EVL;CZ0620002;6240;;;;2026-09-24
EVL;CZ0620002;6210p;;;;2026-09-24
EVL;CZ0210150;7220;;;;2026-09-24
EVL;CZ0210150;9170;5,18779672650715e-01;0,00000000000000;2;2026-09-24
EVL;CZ0310630;3140;;;;2026-09-24
EVL;CZ0620421;91G0;2,78489714442339e+01;6,43073555944218;45;2026-09-24
EVL;CZ0614053;3140;;;;2026-09-24
EVL;CZ0614053;6410;;;;2026-09-24
EVL;CZ0614053;7140;;;;2026-09-24
EVL;CZ0614053;9410;7,73738643234300e+00;6,72603565546563;4;2026-09-24
EVL;CZ0614053;91D0;6,37295986201311e+00;5,70337335083133;3;2026-09-24
EVL;CZ0813439;3260;;;;2026-09-24
EVL;CZ0420069;91I0;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0624104;6190;;;;2026-09-24
EVL;CZ0624104;6210;;;;2026-09-24
EVL;CZ0624104;6240;;;;2026-09-24
EVL;CZ0624104;8160;;;;2026-09-24
EVL;CZ0624104;8210;;;;2026-09-24
EVL;CZ0624104;9180;4,68107123461973e+00;2,49015553855023;6;2026-09-24
EVL;CZ0624104;91G0;4,22916508032565e-01;0,00000000000000;2;2026-09-24
EVL;CZ0624104;91H0;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0620414;6230;;;;2026-09-24
EVL;CZ0424139;91F0;1,83346877829635e+00;0,00000000000000;6;2026-09-24
EVL;CZ0534052;3260;;;;2026-09-24
EVL;CZ0610514;3140;;;;2026-09-24
EVL;CZ0610514;6230;;;;2026-09-24
EVL;CZ0424125;3150;;;;2026-09-24
EVL;CZ0424125;3260;;;;2026-09-24
EVL;CZ0424125;5130;;;;2026-09-24
EVL;CZ0424125;6210;;;;2026-09-24
EVL;CZ0424125;6230;;;;2026-09-24
EVL;CZ0424125;6430;;;;2026-09-24
EVL;CZ0424125;6510;;;;2026-09-24
EVL;CZ0424125;8160;;;;2026-09-24
EVL;CZ0424125;9130;1,64422119556112e+01;1,42413044796072;72;2026-09-24
EVL;CZ0424125;9180;1,23174807498102e+01;3,19574774506973;58;2026-09-24
EVL;CZ0424125;40A0;;;;2026-09-24
EVL;CZ0424125;91E0;2,29288699783956e+00;0,00000000000000;25;2026-09-24
EVL;CZ0424125;91I0;2,50624774036010e+00;1,32555528109814;8;2026-09-24
EVL;CZ0610030;3150;;;;2026-09-24
EVL;CZ0623799;91F0;6,21027815754706e+00;4,36694727855013;5;2026-09-24
EVL;CZ0710006;6510;;;;2026-09-24
EVL;CZ0710006;9170;2,35989956467022e+00;0,00000000000000;12;2026-09-24
EVL;CZ0523268;6410;;;;2026-09-24
EVL;CZ0523268;9170;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0523268;91E0;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0622218;6210;;;;2026-09-24
EVL;CZ0622218;6250;;;;2026-09-24
EVL;CZ0622218;40A0;;;;2026-09-24
