SITECODE,HABITAT_CODE,ID_IND,TYP_IND,LIM_IND,ZDROJ,rowname
CZ0214009,6510,ROZLOHA,min,96.84,SDF,255
CZ0214009,91F0,ROZLOHA,min,801.22,VMB2,256
CZ0214011,40A0,ROZLOHA,min,2.04,SDF,257
CZ0214011,6190,ROZLOHA,min,1.7,VMB2,258
CZ0214011,6510,ROZLOHA,min,12.03,VMB2,259
CZ0214011,8150,ROZLOHA,min,6.71,VMB2,260
CZ0214011,8220,ROZLOHA,min,5.2,VMB2,261
CZ0214011,9110,ROZLOHA,min,86.62,VMB2,262
CZ0214011,9130,ROZLOHA,min,328.62,VMB2,263
CZ0214011,9170,ROZLOHA,min,206.11,VMB2,264
CZ0214011,9180,ROZLOHA,min,228.26,VMB2,265
CZ0214011,9.10E+01,ROZLOHA,min,16.66,VMB2,266
CZ0214012,8310,ROZLOHA,min,0.01,N/A,267
CZ0214013,3140,ROZLOHA,min,0.38,N/A,268
CZ0214013,3150,ROZLOHA,min,21.04,SDF,269
CZ0214013,6210,ROZLOHA,min,21.07,SDF,270
CZ0214013,6410,ROZLOHA,min,2.94,VMB2,271
CZ0214013,6430,ROZLOHA,min,68.23,VMB2,272
CZ0214013,6510,ROZLOHA,min,112.17,VMB2,273
CZ0214013,7210,ROZLOHA,min,0.62,VMB2,274
CZ0214013,7230,ROZLOHA,min,4.58,SDF,275
CZ0214013,8220,ROZLOHA,min,20.32,VMB2,276
CZ0214013,8230,ROZLOHA,min,2.37,SDF,277
CZ0214013,8310,ROZLOHA,min,0.01,N/A,278
CZ0214013,9110,ROZLOHA,min,908.97,VMB2,279
CZ0214013,9.10E+01,ROZLOHA,min,57.79,VMB2,280
CZ0214014,3130,ROZLOHA,min,1.97,VMB2,281
CZ0214014,3150,ROZLOHA,min,2.82,VMB2,282
CZ0214014,7140,ROZLOHA,min,0.1,EXPERT,283
CZ0214015,8150,ROZLOHA,min,0.1,VMB2,284
CZ0214015,8220,ROZLOHA,min,1.95,VMB2,285
CZ0214015,9130,ROZLOHA,min,29.5,VMB2,286
CZ0214015,9170,ROZLOHA,min,165.14,VMB2,287
CZ0214015,9180,ROZLOHA,min,56.36,VMB2,288
CZ0214015,9.10E+01,ROZLOHA,min,15.93,VMB2,289
CZ0214015,91I0,ROZLOHA,min,8.69,VMB2,290
CZ0214017,3260,ROZLOHA,min,3.59,VMB2,291
CZ0214017,3270,ROZLOHA,min,0.49,VMB2,292
CZ0214017,40A0,ROZLOHA,min,1.75,VMB2,293
CZ0214017,5130,ROZLOHA,min,6.25,VMB2,294
CZ0214017,6110,ROZLOHA,min,3.03,VMB2,295
CZ0214017,6190,ROZLOHA,min,29.81,VMB2,296
CZ0214017,6210,ROZLOHA,min,83.03,VMB2,297
CZ0214017,6210p,ROZLOHA,min,4.55,VMB2,298
CZ0214017,7220,ROZLOHA,min,0.25,VMB2,299
CZ0214017,8160,ROZLOHA,min,0.25,VMB2,300
CZ0214017,8210,ROZLOHA,min,9.13,VMB2,301
CZ0214017,8310,ROZLOHA,min,0,N/A,302
CZ0214017,9150,ROZLOHA,min,166.74,VMB2,303
CZ0214017,9170,ROZLOHA,min,1062.28,VMB2,304
CZ0214017,9180,ROZLOHA,min,142.88,VMB2,305
CZ0214017,91H0,ROZLOHA,min,286.51,VMB2,306
CZ0214017,91I0,ROZLOHA,min,71.16,SDF,307
CZ0214025,8310,ROZLOHA,min,0.01,N/A,308
CZ0214037,6110,ROZLOHA,min,0.28,SDF,309
CZ0214037,6190,ROZLOHA,min,3.51,SDF,310
CZ0214037,6210,ROZLOHA,min,2.69,VMB2,311
CZ0214037,8310,ROZLOHA,min,0.01,N/A,312
CZ0214041,6410,ROZLOHA,min,50.67,VMB2,313
CZ0214041,6430,ROZLOHA,min,5.87,SDF,314
CZ0214041,6510,ROZLOHA,min,16.96,VMB2,315
CZ0214041,9.10E+01,ROZLOHA,min,18.41,VMB2,316
CZ0214042,3150,ROZLOHA,min,1.82,SDF,317
CZ0214042,4030,ROZLOHA,min,5.04,VMB2,318
CZ0214042,6230,ROZLOHA,min,48.94,VMB2,319
CZ0214042,6410,ROZLOHA,min,82.28,VMB2,320
CZ0214042,6430,ROZLOHA,min,8.46,VMB2,321
CZ0214042,6510,ROZLOHA,min,34.96,VMB2,322
CZ0214042,7140,ROZLOHA,min,13.85,VMB2,323
CZ0214042,8220,ROZLOHA,min,1.22,VMB2,324
CZ0214042,9110,ROZLOHA,min,36.65,VMB2,325
CZ0214042,9130,ROZLOHA,min,30.01,VMB2,326
CZ0214042,91D0,ROZLOHA,min,12.56,VMB2,327
CZ0214042,9410,ROZLOHA,min,102.57,VMB2,328
CZ0214043,6410,ROZLOHA,min,2.44,VMB2,329
CZ0214043,7230,ROZLOHA,min,0.25,SDF,330
CZ0214044,6410,ROZLOHA,min,9.39,SDF,331
CZ0214044,6510,ROZLOHA,min,5.75,SDF,332
CZ0214044,9170,ROZLOHA,min,54.2,SDF,333
CZ0214044,9190,ROZLOHA,min,77.26,VMB2,334
CZ0214045,3150,ROZLOHA,min,2.63,SDF,335
CZ0214045,7140,ROZLOHA,min,0.8,VMB2,336
CZ0214045,9.10E+01,ROZLOHA,min,21.54,VMB2,337
CZ0214046,3130,ROZLOHA,min,1.13,SDF,338
CZ0214047,4030,ROZLOHA,min,13.32,SDF,339
CZ0214047,7140,ROZLOHA,min,7.44,SDF,340
CZ0214047,91D0,ROZLOHA,min,11.58,VMB2,341
CZ0214049,2330,ROZLOHA,min,0.17,VMB2,342
CZ0214050,3150,ROZLOHA,min,6.14,VMB2,343
CZ0214050,6210,ROZLOHA,min,37.97,VMB2,344
CZ0214050,6210p,ROZLOHA,min,2.99,VMB2,345
CZ0214050,6410,ROZLOHA,min,12.1,SDF,346
CZ0214050,6440,ROZLOHA,min,3.56,VMB2,347
CZ0214050,6510,ROZLOHA,min,25.67,VMB2,348
CZ0214050,7230,ROZLOHA,min,8.07,VMB2,349
CZ0214050,91H0,ROZLOHA,min,32.45,VMB2,350
CZ0214050,91I0,ROZLOHA,min,51.4,VMB2,351
CZ0310001,9110,ROZLOHA,min,189.19,VMB2,352
CZ0310001,9130,ROZLOHA,min,28.6,VMB2,353
CZ0310008,3150,ROZLOHA,min,1.13,VMB2,354
CZ0310009,3150,ROZLOHA,min,1.22,SDF,355
CZ0310010,6410,ROZLOHA,min,22.87,VMB2,356
CZ0310014,9110,ROZLOHA,min,34.14,VMB2,357
CZ0310014,9130,ROZLOHA,min,65.7,VMB2,358
CZ0310014,9180,ROZLOHA,min,5.42,SDF,359
CZ0310017,3150,ROZLOHA,min,10.48,VMB2,360
CZ0310017,6430,ROZLOHA,min,7,VMB2,361
CZ0310017,7120,ROZLOHA,min,6.89,VMB2,362
CZ0310017,7140,ROZLOHA,min,6.08,VMB2,363
CZ0310017,91D0,ROZLOHA,min,63.75,VMB2,364
CZ0310017,9.10E+01,ROZLOHA,min,13.6,VMB2,365
CZ0310017,9410,ROZLOHA,min,160.68,VMB2,366
CZ0310019,3130,ROZLOHA,min,3.51,SDF,367
CZ0310019,3150,ROZLOHA,min,16.34,SDF,368
CZ0310020,9110,ROZLOHA,min,263,EXPERT,369
CZ0310022,8220,ROZLOHA,min,0.84,VMB2,370
CZ0310032,3260,ROZLOHA,min,1.75,SDF,371
CZ0310032,8220,ROZLOHA,min,3.51,VMB2,372
CZ0310033,8220,ROZLOHA,min,3.34,VMB2,373
CZ0310033,9170,ROZLOHA,min,56.86,VMB2,374
CZ0310033,9180,ROZLOHA,min,26.61,VMB2,375
