SITECODE,NAZEV,HABITAT_CODE,ROZLOHA,KVALITA,TYPICKE_DRUHY,REPRE,REPRE_SDF,CONSERVATION,DEGREE_OF_CONSERVATION,MRTVE_DREVO,KALAMITA_POLOM,RELATIVE_AREA_PERC,EVL_AREA_PERC,GOOD_DOC_AREA_HA,W_AREA_HA,W_AREA_PERC,PASEKY_AREA_HA,PASEKY_AREA_PERC,DEGRAD_AREA_HA,DEGRAD_AREA_PERC,PERC_0,PERC_1,PERC_2,DATE_MIN,DATE_MAX,DATE_MEAN,DATE_MEDIAN
CZ0324029,Těchonická draha,7140,0.4513230062689666,1,1.0109152001182093,1.0054576000591045,2.0054576000591045,1.0054576000591047,100,NA,NA,8.390378285628863e-11,4.955748095423767,0.4513230062689666,0,0,NA,NA,0,0,0,100,0,2009-05-11,2009-09-15,2009-06-22,2009-05-11
CZ0314636,Tejmlov - Nad Zavírkou,6230,1.9071129242131952,1.971210802785794,1.485605401392897,1.485605401392897,2,1.485605401392897,100,NA,NA,1.837091996115845e-10,8.478665674460384,1.9071129242131952,0,0,NA,NA,0,0,0,0,100,2021-06-02,2021-06-02,2021-06-02,2021-06-02
CZ0314636,Tejmlov - Nad Zavírkou,6510,11.574600183689174,2.528703550992632,2.0955605095602783,1.338758342772804,2.595355824637779,1.9655920905209356,90.44394904397217,NA,NA,6.628127533597631e-11,51.45849730609741,10.468525492179348,1.106074691509828,9.556050956027828,NA,NA,1.106074691509828,9.556050956027828,0,0,100,2021-06-02,2021-06-02,2021-06-02,2021-06-02
CZ0210062,Teslíny,6230,0.3551231956608483,2,2,1.5369542377184318,2.4630457622815682,2,100,NA,NA,3.420846097263902e-11,0.8543003822765391,0.3551231956608483,0,0,NA,NA,0,0,0,0,100,2014-05-09,2014-05-20,2014-05-14,2014-05-14
CZ0210062,Teslíny,6410,4.393800013876164,1.342038342724642,2.3250101222895676,1.0170282204350747,2.9829717795649255,1.342038342724642,100,NA,NA,5.646672657439326e-10,10.569923557136148,4.393800013876164,0,0,NA,NA,0,0,0,0,100,2014-05-09,2014-05-20,2014-05-15,2014-05-20
CZ0210062,Teslíny,6430,0.5371554450550303,2.338672664042651,2.1693363320213255,1.6613273359573488,2.338672664042651,2.1693363320213255,83.06636679786743,NA,NA,5.783610863660319e-11,1.2922053745278035,0.4461955122641288,0.09095993279090152,16.933633202132555,NA,NA,0.09095993279090152,16.933633202132555,0,0,100,2014-05-20,2014-06-04,2014-05-25,2014-05-20
CZ0210062,Teslíny,6510,22.69312967849199,1.5484322166879796,2.0287832258993252,1.1975167815465029,2.827942285216711,1.6063107301756345,98.88872912761863,NA,NA,1.2995088837493923e-10,54.59161664534473,22.440947538343174,0.07543557434772374,0.3324159136111569,NA,NA,0.07543557434772374,0.3324159136111569,0,31.039933821583517,68.96006617841648,2011-05-20,2017-10-13,2014-03-20,2014-05-10
CZ0410001,Tisovec,4030,8.897737932413014,1.5549811522149244,1.210692658288485,1.996183245194168,1.2126010356914012,1.5530727748120081,99.80916225970839,NA,NA,6.369203337022062e-9,34.06047185897314,8.880757690405726,0.01698024200728629,0.19083774029160858,NA,NA,0.01698024200728629,0.19083774029160858,0,0,100,2015-05-05,2015-05-06,2015-05-05,2015-05-06
CZ0210054,Tok,4030,99.45699359856258,1.8635465190825964,2.3292771546139766,1.7529328951565553,2.523790369333046,1.7574084985969913,97.28613615421578,NA,NA,7.119357979858546e-8,63.50990610393913,96.75786620718726,0.7512412551997322,0.7553428150381872,NA,NA,0.7512412551997322,0.7553428150381872,0,0,100,2023-08-14,2023-10-20,2023-08-24,2023-08-22
CZ0210054,Tok,7110,7.0052541715907894,2.0028663679305545,2.1102485078915985,1.3073489159434322,2.637068868048945,1.9334904268709598,85.45342129969629,NA,NA,9.281064312038368e-9,4.473320764829443,5.986229360364026,0,0,NA,NA,0,0,0,0,100,2023-08-14,2023-10-20,2023-08-23,2023-08-15
CZ0210054,Tok,7140,30.070924083664927,1.6255816512419088,1.5166123647543304,0.8922587836940985,2.3102427924780176,1.5247071008380715,90.90078434402926,NA,NA,5.590373744652712e-9,19.202285288461034,27.33470585154901,0.0029001710394455584,0.009644436038535258,NA,NA,0.0029001710394455584,0.009644436038535258,0,0,100,2023-08-14,2023-10-20,2023-08-23,2023-08-19
CZ0210054,Tok,8220,0.38553705098328184,1,2.491307255758765,2,2.491307255758765,1,100,NA,NA,5.6516830244637304e-11,0.24619105224885565,0.38553705098328184,0,0,NA,NA,0,0,0,0,100,2023-08-22,2023-08-22,2023-08-22,2023-08-22
CZ0623046,Trávní dvůr,91E0,26.986674430419782,2.132706343235431,1.8863450722218429,1.5999201093440414,2.233532695082377,2.0509274828449917,85.54855340714673,0.9803425082454936,0,3.0298587982433305e-10,7.948416788420881,23.086709587920478,1.4256543507534871,5.282808574392065,0.00173206012821465,0.006418205150399138,1.4273864108817018,5.289226779542464,0,99.99358179484962,0,2012-04-25,2012-06-16,2012-05-22,2012-06-14
CZ0520600,Trčkov,9110,132.543403481582,3.4543236006670615,2.6429501029684475,0.7133127733648021,3.2862653527317933,2.595273508386854,35.6684750236654,0.3896084015739021,0,9.663613155097605e-10,32.55163460584046,47.27621076634414,80.26771823919587,60.559572284070505,4.99947447604199,3.771952692264092,85.26719271523787,64.33152497633459,0,0,96.22804730773592,2022-08-23,2022-10-05,2022-09-13,2022-08-23
CZ0520600,Trčkov,9130,16.42006411691923,1.9587328004324185,1.134951962304486,1.222196362846269,1.8868298626343027,1.5671649811637394,97.40742631760857,0.9636373041382951,0,1.2547561378483037e-10,4.0326407297417894,15.994361855992185,0.09574645717495586,0.583106475670206,0.329955803752091,2.009467206721225,0.4257022609270469,2.5925736823914307,0,0,97.99053279327877,2022-08-23,2022-10-05,2022-08-28,2022-08-23
CZ0520600,Trčkov,9410,54.74987700720414,2.728415122499858,2.053623093796785,1.388425148297084,2.582274854551855,2.29175356030424,70.82464396957602,0.9697871623557472,0,7.10977155406981e-10,13.44614627540379,38.7764054641331,3.1086672371516206,5.6779437819423295,0.336666569748439,0.6149174905071284,3.4453338069000594,6.292861272449457,0,0,99.38508250949288,2022-07-25,2022-10-05,2022-08-30,2022-08-23
CZ0622037,Trkmanec - Rybníčky,3130,1.982756132158448,1,1.955799816920625,1,2.955799816920625,1,100,NA,NA,2.017733740510671e-9,4.47252799855268,1.982756132158448,0,0,NA,NA,0,0,0,100,0,2011-06-17,2011-08-25,2011-08-02,2011-08-25
CZ0613334,Trnava,3260,14.995425940488605,1,2,2,2,1,100,NA,NA,3.2639168692302894e-9,6.664415327337387,14.995425940488605,0,0,NA,NA,0,0,0,79.19720419290294,20.802795807097056,2012-08-08,2018-09-08,2013-01-28,2012-08-09
CZ0720153,Troják,9130,22.38787992410436,2.7207458871536927,2.6502199955419954,0.8848302114154238,3.290235783556679,2.2455918865838,52.484599943010736,0.6292394911294965,0,1.7107929389408085e-10,3.448074283118205,11.750189213887788,10.163739923533049,45.3984028768622,0.473950786683522,2.116997180127062,10.637690710216571,47.51540005698926,0,0,97.88300281987293,2022-09-20,2023-09-26,2023-08-02,2023-09-06
CZ0720153,Troják,9170,600.0884350925634,1.7143236992884847,1.9318728454147212,1.5024585575878557,2.275684928125878,1.5196019942407237,85.97952094564162,1.0066482697921937,0,3.6257740139778543e-9,92.42275318850199,515.95316174278355,65.99785546994003,10.9980215598989,8.44655934989498,1.4075524299334483,74.44441481983502,12.405573989832348,0,0,98.59244757006654,2022-09-08,2023-10-02,2023-04-07,2023-08-22
CZ0210056,Trokavecké louky,6410,1.1901989094361196,1,2,2,2,1,100,NA,NA,1.529578865128671e-10,10.771080508819281,1.1901989094361196,0,0,NA,NA,0,0,0,100.00000000000001,0,2011-09-26,2011-09-26,2011-09-26,2011-09-26
CZ0210056,Trokavecké louky,6430,1.860486146257515,1.2210900131289613,1.221090013128961,1.867618939328241,1.35347107380072,1.221090013128961,100,NA,NA,2.0032055871800977e-10,16.837056317230793,1.860486146257515,0,0,NA,NA,0,0,0,100,0,2012-06-27,2012-06-27,2012-06-27,2012-06-27
CZ0210056,Trokavecké louky,6510,2.6859905743727928,3.297188739851915,2.297188739851915,0,3.297188739851915,2,70.28112601480846,NA,NA,1.5381168937543068e-11,24.30771906538357,2.6859905743727928,0.7982461540519725,29.71887398519153,NA,NA,0.7982461540519725,29.71887398519153,0,100,0,2011-09-26,2012-06-27,2012-02-10,2012-02-10
CZ0314023,Třeboňsko - střed,2330,0.7585584114732221,1.5,2,2,2,1,100,NA,NA,1.0452903219060419e-9,0.01883367863434375,0.7585584114732221,0,0,NA,NA,0,0,0,0,100,2015-08-31,2015-08-31,2015-08-31,2015-08-31
CZ0314023,Třeboňsko - střed,3150,63.92882783484543,1.7066734802977535,2.024795384975566,1.8170598938566855,2.1920317054495935,1.6158158115536776,94.34282552925747,NA,NA,9.703333869258544e-9,1.5872409832927827,60.312262507127606,1.003924610407159,1.570378566928696,NA,NA,1.003924610407159,1.570378566928696,0,0,100,2013-07-07,2024-05-16,2016-07-22,2013-08-24
CZ0314023,Třeboňsko - střed,3160,0.04393545001174789,1,1,2,1,1,100,NA,NA,1.4954201572252653e-9,0.0010908403804652089,0.04393545001174789,0,0,NA,NA,0,0,0,0,100,2013-07-16,2013-07-16,2013-07-16,2013-07-16
CZ0314023,Třeboňsko - střed,3260,44.72443969222058,1.3914114151156354,1.564535038618172,2,1.564535038618172,1.1531624710063908,98.81332837454968,NA,NA,9.73475870292985e-9,1.1104296142843646,44.19370745675136,0,0,NA,NA,0,0,0,0,100,2013-07-09,2024-06-14,2015-05-03,2014-08-23
CZ0314023,Třeboňsko - střed,7140,7.379623584044174,1.9722943440668779,1.8603507187123962,1.881055503326566,1.9792952153858305,2.050221510769949,92.20728332969288,NA,NA,1.3719183958191325e-9,0.18322314659247355,6.8045504268044485,0,0,NA,NA,0,0,0,17.184497488557753,82.81550251144226,2011-09-09,2013-08-23,2013-04-16,2013-08-17
CZ0314023,Třeboňsko - střed,7150,0.11064907423010098,4,3,0,4,3,0,NA,NA,5.496616846615332e-9,0.0027472229873373877,0,0.11064907423010098,100,NA,NA,0.11064907423010098,100,0,0,100,2013-07-09,2013-07-09,2013-07-09,2013-07-09
