"SITECODE";"NAZEV";"HABITAT_CODE";"DATE_MIN";"DATE_MAX";"PAR_NAZEV";"PAR_HODNOTA";"ROK_HODNOCENI"
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"EXPANSIVE";"0.689";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"RED_LIST_SPECIES";"Cotoneaster integerrimus, Canis lupus, Antennaria dioica, Anthemis tinctoria, Berberis vulgaris, Sorbus danubialis, Ficedula parva, Rosa gallica";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"INVASIVE_LIST";"Cotoneaster integerrimus, Sorbus danubialis, Antennaria dioica, Anthemis tinctoria, Rosa gallica, Berberis vulgaris, Ficedula parva";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"EXPANSIVE_LIST";"Fagus sylvatica, Crataegus sp., Prunus spinosa";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"MINIMIAREAL";"100";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"MINIMIAREAL_JADRA";"24";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"MINIMIAREAL_HODNOTA";"0";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"MOZAIKA_VNEJSI";"79.466";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"MOZAIKA_VNITRNI";"100";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"MOZAIKA_FIN";"79.466";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"VYPLNENOST_MOZAIKA";"1";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"PERC_SPAT";"100";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"ROZLOHA_HOLINY";NA;2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"POCET_SEGMENTU_PASEKY";NA;2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"SITECODE_TARGET";"CZ0414127";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"HABITAT_CODE_TARGET";"40A0";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;".target_id";"3";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"ROZLOHA";"1.613";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"KVALITA";"4";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"TYPICKE_DRUHY";"3";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"REPRE";"0";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"REPRE_SDF";"3";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"CONSERVATION";"2";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"DEGREE_OF_CONSERVATION";"0";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"MRTVE_DREVO";NA;2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"KALAMITA_POLOM";NA;2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"RELATIVE_AREA_PERC";"0.376";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"SITE_AREA_PERC";"0.005";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"GOOD_DOC_AREA_HA";"0";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"W_AREA_HA";"0";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"W_AREA_PERC";"0";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"PASEKY_AREA_HA";NA;2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"PASEKY_AREA_PERC";NA;2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"DEGRAD_AREA_HA";"0";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"DEGRAD_AREA_PERC";"0";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"PERC_0";"0";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"PERC_1";"0";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"PERC_2";"100";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"RED_LIST";"0";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"INVASIVE";"0";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"EXPANSIVE";"0";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"RED_LIST_SPECIES";NA;2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"INVASIVE_LIST";NA;2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"EXPANSIVE_LIST";NA;2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"MINIMIAREAL";"100";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"MINIMIAREAL_JADRA";"1";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"MINIMIAREAL_HODNOTA";"0";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"MOZAIKA_VNEJSI";"91.527";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"MOZAIKA_VNITRNI";"100";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"MOZAIKA_FIN";"91.527";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"VYPLNENOST_MOZAIKA";"1";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"PERC_SPAT";"100";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"ROZLOHA_HOLINY";NA;2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"POCET_SEGMENTU_PASEKY";NA;2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"SITECODE_TARGET";"CZ0414127";2026
"CZ0414127";"Hradištì";"5130";2001-05-06;2002-12-31;"HABITAT_CODE_TARGET";"5130";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;".target_id";"4";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"ROZLOHA";"1849.316";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"KVALITA";"2.415";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"TYPICKE_DRUHY";"2.233";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"REPRE";"1.35";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"REPRE_SDF";"2.583";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"CONSERVATION";"2.074";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"DEGREE_OF_CONSERVATION";"77.736";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"MRTVE_DREVO";NA;2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"KALAMITA_POLOM";NA;2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"RELATIVE_AREA_PERC";"13.584";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"SITE_AREA_PERC";"5.577";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"GOOD_DOC_AREA_HA";"1437.584";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"W_AREA_HA";"14.293";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"W_AREA_PERC";"0.773";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"PASEKY_AREA_HA";NA;2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"PASEKY_AREA_PERC";NA;2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"DEGRAD_AREA_HA";"14.293";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"DEGRAD_AREA_PERC";"0.773";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"PERC_0";"0";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"PERC_1";"27.058";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"PERC_2";"72.942";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"RED_LIST";"10";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"INVASIVE";"77.242";2026
"CZ0414127";"Hradištì";"6210";2001-05-06;2024-07-02;"EXPANSIVE";"46.219";2026
