"typ_predmetu_hodnoceni","kod_chu","nazev_chu","druh","feature_code","datum_hodnoceni_od","datum_hodnoceni_do","parametr_nazev","parametr_hodnota","parametr_limit","parametr_jednotka","stav","trend","datum_hodnoceni","oop","pracoviste","poznamka","Poznámka"
"Stanovištì","CZ0414127","Hradištì","Polopøirozené suché trávníky a facie køovin na vápnitých podložích (Festuco-Brometalia)","6210","2001-05-06","2024-07-02",128,"1849,3162",2151.98,"hektary",13,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les","SDF",NA
"Stanovištì","CZ0414127","Hradištì","Polopøirozené suché trávníky a facie køovin na vápnitých podložích (Festuco-Brometalia)","6210","2001-05-06","2024-07-02",129,"2,4146",2,"140",13,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les","MINIMI",NA
"Stanovištì","CZ0414127","Hradištì","Polopøirozené suché trávníky a facie køovin na vápnitých podložích (Festuco-Brometalia)","6210","2001-05-06","2024-07-02",132,"2,2326",NA,"140",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Polopøirozené suché trávníky a facie køovin na vápnitých podložích (Festuco-Brometalia)","6210","2001-05-06","2024-07-02",162,NA,NA,"140",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Polopøirozené suché trávníky a facie køovin na vápnitých podložích (Festuco-Brometalia)","6210","2001-05-06","2024-07-02",136,"10",NA,"druhy èerveného seznamu",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Polopøirozené suché trávníky a facie køovin na vápnitých podložích (Festuco-Brometalia)","6210","2001-05-06","2024-07-02",137,"77,2416",NA,"% rozlohy zasažené invazními druhy",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Polopøirozené suché trávníky a facie køovin na vápnitých podložích (Festuco-Brometalia)","6210","2001-05-06","2024-07-02",138,"46,2191",NA,"% rozlohy zasažené expanzivními druhy",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Polopøirozené suché trávníky a facie køovin na vápnitých podložích (Festuco-Brometalia)","6210","2001-05-06","2024-07-02",133,"99,2271",NA,"% rozlohy v celistvém uspoøádání splòující hodnotu minimiareálu",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Polopøirozené suché trávníky a facie køovin na vápnitých podložích (Festuco-Brometalia)","6210","2001-05-06","2024-07-02",135,"84,8285",NA,"% hranice s nepøírodními biotopy",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Polopøirozené suché trávníky a facie køovin na vápnitých podložích (Festuco-Brometalia)","6210","2001-05-06","2024-07-02",134,"93,8961",NA,"zastoupení nepøírodních biotopù v segmentech stanovištì",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Druhovì bohaté smilkové louky na silikátových podložích v horských oblastech (a v kontinentální Evropì v podhorských oblastech)","6230","2010-06-29","2012-05-15",128,"6,6478",9.02,"hektary",13,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les","SDF",NA
"Stanovištì","CZ0414127","Hradištì","Druhovì bohaté smilkové louky na silikátových podložích v horských oblastech (a v kontinentální Evropì v podhorských oblastech)","6230","2010-06-29","2012-05-15",129,"2",2,"140",11,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les","VMB2",NA
