ROK;kod_chu;NAZEV;DRUH;SKUPINA;KOD_LOKAL;NAZEV_LOK;POLE;pracoviste;oop;HODNOCENE_OBDOBI_OD;HODNOCENE_OBDOBI_DO;ID_ND_AKCE;DATUM;CILMON;ID_IND;JEDNOTKA;TYP_IND;IND_GRP;KLIC;UROVEN;LIM_IND;LIM_INDLIST;HOD_IND;STAV_IND;ID_ND_LOK
2026;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Mořina - Tichá štola - Velká Amerika;Mořina - Tichá štola - Velká Amerika;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2019-10-30;2026-01-22;15545588;2026-01-22;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;7073126
2016;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Velká Amerika;Velká Amerika;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2000-01-26;2016-09-24;9778518;2016-09-24;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;5902607
2016;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Velká Amerika;Velká Amerika;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2000-01-26;2016-09-24;9778518;2016-09-24;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;5902607
2016;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Velká Amerika;Velká Amerika;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2000-01-26;2016-09-24;9778518;2016-09-24;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;5902607
2014;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Zbytovského štola;Zbytovského štola;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2005-02-02;2026-01-22;9371423;2014-01-31;1;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;5668100
2014;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Zbytovského štola;Zbytovského štola;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2005-02-02;2026-01-22;9371423;2014-01-31;1;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;5668100
2014;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Zbytovského štola;Zbytovského štola;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2005-02-02;2026-01-22;9371423;2014-01-31;1;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;5668100
2021;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;vodní štola ve Velké Americe;vodní štola ve Velké Americe;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2021-02-05;2021-02-05;11299665;2021-02-05;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;5517604
2021;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;vodní štola ve Velké Americe;vodní štola ve Velké Americe;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2021-02-05;2021-02-05;11299665;2021-02-05;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;5517604
2021;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;vodní štola ve Velké Americe;vodní štola ve Velké Americe;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2021-02-05;2021-02-05;11299665;2021-02-05;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;5517604
2014;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;štola Feministka;štola Feministka;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2002-02-12;2014-01-31;9371359;2014-01-31;1;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;5668078
2014;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;štola Feministka;štola Feministka;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2002-02-12;2014-01-31;9371359;2014-01-31;1;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;5668078
2014;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;štola Feministka;štola Feministka;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2002-02-12;2014-01-31;9371359;2014-01-31;1;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;5668078
2015;CZ0213626;Suchomasty - zámeček;Rhinolophus hipposideros;Letouni;DEL0170 - Suchomasty 1 - zámeček;DEL0170 - Suchomasty 1 - zámeček;6150a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2000-07-12;2015-07-17;9475181;2015-07-17;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;1172831
2015;CZ0213626;Suchomasty - zámeček;Rhinolophus hipposideros;Letouni;DEL0170 - Suchomasty 1 - zámeček;DEL0170 - Suchomasty 1 - zámeček;6150a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2000-07-12;2015-07-17;9475181;2015-07-17;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;1172831
2015;CZ0213626;Suchomasty - zámeček;Rhinolophus hipposideros;Letouni;DEL0170 - Suchomasty 1 - zámeček;DEL0170 - Suchomasty 1 - zámeček;6150a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2000-07-12;2015-07-17;9475181;2015-07-17;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;1172831
2023;CZ0213792;Kačina;Rhinolophus hipposideros;Letouni;Platanový můstek, Nové Dvory;Platanový můstek, Nové Dvory;6058a;RP Střední Čechy;Krajský úřad Středočeského kraje;2023-06-01;2023-06-01;14934299;2023-06-01;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;12071872
2023;CZ0213792;Kačina;Rhinolophus hipposideros;Letouni;Platanový můstek, Nové Dvory;Platanový můstek, Nové Dvory;6058a;RP Střední Čechy;Krajský úřad Středočeského kraje;2023-06-01;2023-06-01;14934299;2023-06-01;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;12071872
2023;CZ0213792;Kačina;Rhinolophus hipposideros;Letouni;Platanový můstek, Nové Dvory;Platanový můstek, Nové Dvory;6058a;RP Střední Čechy;Krajský úřad Středočeského kraje;2023-06-01;2023-06-01;14934299;2023-06-01;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;12071872
2018;CZ0214002;Karlické údolí;Rhinolophus hipposideros;Letouni;Karlické údolí;Karlické údolí;6051c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2018-09-27;2018-09-27;10544182;2018-09-27;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;4937894
2018;CZ0214002;Karlické údolí;Rhinolophus hipposideros;Letouni;Karlické údolí;Karlické údolí;6051c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2018-09-27;2018-09-27;10544182;2018-09-27;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;4937894
2018;CZ0214002;Karlické údolí;Rhinolophus hipposideros;Letouni;Karlické údolí;Karlické údolí;6051c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2018-09-27;2018-09-27;10544182;2018-09-27;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;4937894
2016;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;Jeskyně Zlomená;Jeskyně Zlomená;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2016-02-02;2016-02-02;9807806;2016-02-02;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;5062657
2016;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;Jeskyně Zlomená;Jeskyně Zlomená;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2016-02-02;2016-02-02;9807806;2016-02-02;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;5062657
2016;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;Jeskyně Zlomená;Jeskyně Zlomená;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2016-02-02;2016-02-02;9807806;2016-02-02;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;5062657
2018;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;Jeskyně Žába;Jeskyně Žába;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2012-02-03;2018-01-30;10730116;2018-01-30;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;5062663
2018;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;Jeskyně Žába;Jeskyně Žába;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2012-02-03;2018-01-30;10730116;2018-01-30;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;5062663
2018;CZ0214003;Zlatý kůň;Rhinolophus hipposideros;Letouni;Jeskyně Žába;Jeskyně Žába;6050c;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2012-02-03;2018-01-30;10730116;2018-01-30;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;5062663
